epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.525399983,0.542310536,0.689741731,0.53072679,0.438719988,0.607800007,0.670614004,0.666304111,0.57158798,0.860719979
1,0.788600028,0.871453762,0.452901363,0.776669979,0.810159981,0.839959979,0.92125237,0.369197547,0.865359843,0.805199981
2,0.852760017,0.927341998,0.344359756,0.84473455,0.864400029,0.855440021,0.93197602,0.336780012,0.828575671,0.896319985
3,0.868040025,0.939300239,0.31499669,0.86136204,0.877279997,0.860400021,0.93628782,0.32428804,0.869868636,0.847599983
4,0.870599985,0.943591356,0.3038432,0.86502248,0.878239989,0.854640007,0.937259138,0.33486864,0.81466496,0.918160021
5,0.876839995,0.947107494,0.29415223,0.872106791,0.88319999,0.862320006,0.938685238,0.317982018,0.846200883,0.885599971
6,0.876519978,0.948892057,0.289267093,0.87261498,0.881760001,0.863799989,0.939984381,0.313737512,0.853588343,0.878239989
7,0.879559994,0.9506284,0.284582883,0.875029624,0.885599971,0.86303997,0.940244198,0.318769157,0.840639532,0.895919979
8,0.884320021,0.952403307,0.279190391,0.881512046,0.888000011,0.864359975,0.940616786,0.313385606,0.850858927,0.883599997
9,0.886479974,0.954730034,0.272357017,0.882623136,0.891520023,0.866119981,0.9407655,0.31185329,0.860780478,0.873520017
