epoch,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.791766703,0.824195802,0.616959989,0.742680013,0.486230284,0.8723405,0.845581174,0.845040023,0.845359981,0.364896327
1,0.879272461,0.877699077,0.822719991,0.854040027,0.341002196,0.901690543,0.876105487,0.871760011,0.874239981,0.303736985
2,0.904030502,0.906924903,0.846560001,0.879840016,0.28590104,0.899449468,0.862381101,0.899360001,0.877919972,0.307072759
3,0.912822723,0.918028593,0.858319998,0.890839994,0.259950519,0.902419806,0.895727038,0.856959999,0.878600001,0.287490129
4,0.918343127,0.924333096,0.864880025,0.897040009,0.245735392,0.901125252,0.892890036,0.852959991,0.875320017,0.292095125
5,0.923200428,0.929884553,0.870000005,0.902199984,0.233595937,0.897589207,0.861591697,0.896399975,0.87620002,0.315318197
6,0.926862717,0.93291223,0.87440002,0.90575999,0.224823132,0.890654027,0.903514087,0.833039999,0.872039974,0.312293589
7,0.932288826,0.935620487,0.883599997,0.91140002,0.211154193,0.889530838,0.893836796,0.844640017,0.872160017,0.321592987
8,0.938711286,0.944138825,0.892400026,0.919799984,0.196054801,0.890403569,0.883757293,0.858799994,0.872919977,0.322931409
9,0.943844438,0.948322177,0.904320002,0.927519977,0.18181394,0.885873735,0.876386166,0.859839976,0.869279981,0.345154673
