epoch,loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
1,0.6889,0.5622,0.5642,0.5521,0.715,0.6746,0.57,0.5625,0.5483,0.7112
2,0.6651,0.597,0.5863,0.5789,0.7345,0.6727,0.5757,0.5742,0.5659,0.7298
3,0.6575,0.608,0.6022,0.594,0.7498,0.6739,0.5596,0.5803,0.5692,0.735
4,0.6502,0.6184,0.6132,0.6093,0.7672,0.659,0.5975,0.5967,0.5719,0.7448
5,0.6369,0.6366,0.6275,0.6234,0.7845,0.6569,0.5883,0.6018,0.5832,0.7519
6,0.6083,0.6671,0.64,0.6351,0.798,0.658,0.5952,0.6119,0.592,0.7615
7,0.5898,0.6834,0.6548,0.6449,0.8113,0.6525,0.6009,0.6203,0.6008,0.772
8,0.5751,0.6928,0.6647,0.6548,0.8234,0.6513,0.6112,0.6135,0.596,0.7652
9,0.5594,0.7077,0.6721,0.6643,0.8309,0.6697,0.6021,0.6168,0.5985,0.7703
10,0.5427,0.7213,0.681,0.6735,0.8372,0.6728,0.6078,0.6225,0.6053,0.7782
