epoch,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.811412096,0.871373534,0.637972772,0.745519578,0.461584538,0.838319361,0.821176469,0.786036015,0.803899109,0.444825202
1,0.845583081,0.898206174,0.713061273,0.794859588,0.390910506,0.833428025,0.828915656,0.77477479,0.803899109,0.448092014
2,0.857921064,0.907659829,0.732066333,0.808994949,0.363799363,0.826289654,0.820754707,0.783783793,0.802752316,0.472268581
3,0.868118584,0.917987764,0.747531235,0.821912706,0.34119606,0.826868713,0.839805841,0.779279292,0.811926603,0.501324713
4,0.876685143,0.92443192,0.761292577,0.832128167,0.320396006,0.814360142,0.801339269,0.808558583,0.800458729,0.577752233
5,0.884811521,0.929017067,0.776863933,0.842417836,0.301982284,0.806398332,0.78747201,0.792792797,0.785550475,0.606931865
6,0.892427683,0.935299516,0.788415968,0.851549387,0.285781384,0.789561808,0.799031496,0.743243217,0.774082541,0.618967295
7,0.897252262,0.938948274,0.797040105,0.857874632,0.271808505,0.796481669,0.805486262,0.727477491,0.771789014,0.644579351
8,0.902706683,0.944401085,0.805690885,0.865150213,0.258693278,0.79968369,0.8097561,0.747747719,0.782110095,0.70505017
9,0.908003867,0.946724117,0.813090563,0.870213389,0.246332392,0.794547796,0.786363661,0.779279292,0.779816508,0.743240774
