epoch,loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0,1.083666444,0.52752459,0.649940372,0.316876918,0.844930589,0.999831617,0.563440025,0.652917087,0.404900014,0.867811024
1,1.001426339,0.563335359,0.659313917,0.389944613,0.867699802,0.97600013,0.572939992,0.663680315,0.414840013,0.873985529
2,0.981997311,0.570872307,0.663073897,0.408107698,0.872713864,0.960729063,0.577180028,0.668806493,0.418819994,0.877672255
3,0.96125406,0.579636931,0.665140867,0.42877537,0.877840161,0.93871671,0.586480021,0.67692405,0.437319994,0.883235395
4,0.938593626,0.588361561,0.666545868,0.449890763,0.883218288,0.922502995,0.590279996,0.66818887,0.456519991,0.886700153
5,0.923453152,0.594304621,0.668005109,0.463010758,0.886742055,0.912176967,0.594760001,0.662251115,0.47894001,0.888989687
6,0.913275957,0.598995388,0.670089722,0.472427696,0.889102638,0.902862251,0.598879993,0.67346704,0.471399993,0.891303003
7,0.904627502,0.602147698,0.671464324,0.480159998,0.891082823,0.895542562,0.60145998,0.669196963,0.490159988,0.892761171
8,0.897764206,0.60559845,0.671884596,0.487256914,0.892685413,0.895884037,0.602259994,0.665548444,0.495979995,0.892674267
9,0.891986847,0.608561516,0.673710942,0.493107706,0.894013464,0.896775305,0.601480007,0.666441619,0.493539989,0.89256084
