epoch,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.807438791,0.418525785,0.820558488,0.572412312,0.971274793,0.816812694,0.418387264,0.865660012,0.600979984,0.904448926
1,0.818356454,0.421552688,0.863359988,0.612010777,0.883467495,0.820785999,0.423049837,0.876940012,0.615840018,0.869878113
2,0.820980012,0.423207641,0.871167719,0.623052299,0.859319329,0.822687805,0.42719987,0.866779983,0.620060027,0.860156894
3,0.822557867,0.424010724,0.875533819,0.628867686,0.845474601,0.823192477,0.422938854,0.878960013,0.625959992,0.849727631
4,0.82337606,0.423654884,0.880292296,0.633058488,0.836370289,0.821881831,0.422650039,0.878139973,0.625779986,0.845634758
5,0.823751807,0.423443317,0.883692324,0.636453867,0.829088151,0.817138255,0.413922697,0.883220017,0.625699997,0.847632647
6,0.823712528,0.421788692,0.886984587,0.63861382,0.823938966,0.821604133,0.417960912,0.887539983,0.627900004,0.840867996
7,0.823669255,0.420614123,0.890224636,0.640812337,0.819580555,0.819491327,0.416215211,0.888119996,0.626900017,0.845569611
8,0.823846817,0.420194715,0.891596913,0.642095387,0.816224694,0.820006013,0.417016208,0.886860013,0.628600001,0.840741277
9,0.823771715,0.420252979,0.892359972,0.642889202,0.813126624,0.823073268,0.422968835,0.882000029,0.629840016,0.839419425
