epoch,AUC,Precision,Recall,accuracy,loss,val_AUC,val_Precision,val_Recall,val_accuracy,val_loss
0,0.802434027,0.387483716,0.880436897,0.584586143,0.945935845,0.809172809,0.385722667,0.920719981,0.61273998,0.881712317
1,0.810967088,0.389234751,0.918432295,0.624449253,0.857154906,0.811524034,0.390682191,0.920080006,0.627539992,0.846086502
2,0.813282907,0.391336858,0.924218476,0.635256946,0.832355022,0.813194871,0.389747858,0.925620019,0.633239985,0.836873293
3,0.814307451,0.391107082,0.929727674,0.641835392,0.817444146,0.810639441,0.387624592,0.931020021,0.634239972,0.832361698
4,0.814797521,0.391367465,0.932421565,0.646389246,0.806419969,0.812856138,0.389488876,0.928300023,0.637399971,0.826112509
5,0.814808249,0.391110003,0.934630752,0.651010752,0.797466516,0.809528947,0.386824369,0.92809999,0.635219991,0.832353413
6,0.81508702,0.390959293,0.936619997,0.653470755,0.790400565,0.811755419,0.389815986,0.928300023,0.634440005,0.82839334
7,0.815451741,0.391658396,0.937083066,0.656776905,0.784267604,0.811747074,0.391275376,0.9278,0.635259986,0.830563605
8,0.816294909,0.392838895,0.937250793,0.659032285,0.778789878,0.810736477,0.388975918,0.928539991,0.632319987,0.836090565
9,0.815808773,0.391731799,0.939806163,0.661529243,0.774128675,0.809008539,0.387626588,0.929419994,0.633520007,0.836109638
