epoch,loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0,0.689,0.558,0.531,0.621,0.693,0.611,0.669,0.682,0.635,0.798
1,0.522,0.735,0.752,0.728,0.854,0.459,0.795,0.801,0.759,0.87
2,0.412,0.819,0.832,0.823,0.905,0.392,0.842,0.847,0.838,0.916
3,0.358,0.862,0.865,0.859,0.924,0.367,0.861,0.86,0.853,0.928
4,0.327,0.884,0.887,0.88,0.934,0.353,0.873,0.872,0.865,0.934
5,0.305,0.898,0.899,0.892,0.94,0.349,0.878,0.879,0.87,0.936
6,0.289,0.907,0.907,0.902,0.944,0.357,0.877,0.878,0.869,0.937
7,0.276,0.913,0.912,0.907,0.947,0.361,0.874,0.875,0.867,0.936
8,0.267,0.918,0.915,0.911,0.95,0.366,0.872,0.873,0.864,0.934
9,0.258,0.922,0.917,0.915,0.953,0.373,0.868,0.869,0.86,0.931
